"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,6122.598,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,6234.16,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,6343.306,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,6422.17,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,6497.384,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,6575.896,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,6629.424,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,6733.703,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,6786.857,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,6910.595,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,7052.871,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,7186.111,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2020","2020","PER","Persons","3","Thousands",,,7158.834,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2021","2021","PER","Persons","3","Thousands",,,7245.555,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2005","2005","PER","Persons","3","Thousands",,,9880.634,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2006","2006","PER","Persons","3","Thousands",,,10124.23,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2007","2007","PER","Persons","3","Thousands",,,10434.27,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2008","2008","PER","Persons","3","Thousands",,,10731.17,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2009","2009","PER","Persons","3","Thousands",,,10805.58,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2010","2010","PER","Persons","3","Thousands",,,11022.24,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2011","2011","PER","Persons","3","Thousands",,,11213.82,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2012","2012","PER","Persons","3","Thousands",,,11350.8,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2013","2013","PER","Persons","3","Thousands",,,11456.71,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2014","2014","PER","Persons","3","Thousands",,,11540.16,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2015","2015","PER","Persons","3","Thousands",,,11766.27,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2016","2016","PER","Persons","3","Thousands",,,11973.09,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2017","2017","PER","Persons","3","Thousands",,,12252.01,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2018","2018","PER","Persons","3","Thousands",,,12584.06,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2019","2019","PER","Persons","3","Thousands",,,12875.08,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2020","2020","PER","Persons","3","Thousands",,,12675.4,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2021","2021","PER","Persons","3","Thousands",,,13065.04,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2005","2005","PER","Persons","3","Thousands",,,4437.336,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2006","2006","PER","Persons","3","Thousands",,,4564.704,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2007","2007","PER","Persons","3","Thousands",,,4701.819,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2008","2008","PER","Persons","3","Thousands",,,4850.724,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2009","2009","PER","Persons","3","Thousands",,,4926.391,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2010","2010","PER","Persons","3","Thousands",,,5000.834,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2011","2011","PER","Persons","3","Thousands",,,5105.946,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2012","2012","PER","Persons","3","Thousands",,,5187.249,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2013","2013","PER","Persons","3","Thousands",,,5256.074,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2014","2014","PER","Persons","3","Thousands",,,5308.238,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2015","2015","PER","Persons","3","Thousands",,,5439.183,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2016","2016","PER","Persons","3","Thousands",,,5569.702,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2017","2017","PER","Persons","3","Thousands",,,5723.188,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2018","2018","PER","Persons","3","Thousands",,,5903.633,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2019","2019","PER","Persons","3","Thousands",,,6063.086,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2020","2020","PER","Persons","3","Thousands",,,5985.501,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2021","2021","PER","Persons","3","Thousands",,,6196.987,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2005","2005","PC","Percentage","0","Units",,,44.90943,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2006","2006","PC","Percentage","0","Units",,,45.08694,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2007","2007","PC","Percentage","0","Units",,,45.06132,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2008","2008","PC","Percentage","0","Units",,,45.20219,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2009","2009","PC","Percentage","0","Units",,,45.59119,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2010","2010","PC","Percentage","0","Units",,,45.37038,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2011","2011","PC","Percentage","0","Units",,,45.53263,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2012","2012","PC","Percentage","0","Units",,,45.69941,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2013","2013","PC","Percentage","0","Units",,,45.8777,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2014","2014","PC","Percentage","0","Units",,,45.99796,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2015","2015","PC","Percentage","0","Units",,,46.22692,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2016","2016","PC","Percentage","0","Units",,,46.51851,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2017","2017","PC","Percentage","0","Units",,,46.71223,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2018","2018","PC","Percentage","0","Units",,,46.91357,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2019","2019","PC","Percentage","0","Units",,,47.09166,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2020","2020","PC","Percentage","0","Units",,,47.22142,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2021","2021","PC","Percentage","0","Units",,,47.43184,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2005","2005","PER","Persons","3","Thousands",,,5443.297,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2006","2006","PER","Persons","3","Thousands",,,5559.523,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2007","2007","PER","Persons","3","Thousands",,,5732.45,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,5880.447,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,5879.186,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,6021.409,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,6107.871,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,6163.553,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,6200.635,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,6231.923,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,6327.085,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,6403.385,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,6528.824,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,6680.431,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,6811.989,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2020","2020","PER","Persons","3","Thousands",,,6689.894,,
"AUS","Australia","YGMA08L1_ST","Employment males","A","Annual","2021","2021","PER","Persons","3","Thousands",,,6868.049,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2005","2005","PC","Percentage","0","Units",,,55.09057,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2006","2006","PC","Percentage","0","Units",,,54.91306,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2007","2007","PC","Percentage","0","Units",,,54.93868,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2008","2008","PC","Percentage","0","Units",,,54.79781,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2009","2009","PC","Percentage","0","Units",,,54.40881,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2010","2010","PC","Percentage","0","Units",,,54.62962,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2011","2011","PC","Percentage","0","Units",,,54.46737,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2012","2012","PC","Percentage","0","Units",,,54.30059,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2013","2013","PC","Percentage","0","Units",,,54.1223,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2014","2014","PC","Percentage","0","Units",,,54.00204,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2015","2015","PC","Percentage","0","Units",,,53.77308,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2016","2016","PC","Percentage","0","Units",,,53.48149,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2017","2017","PC","Percentage","0","Units",,,53.28777,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2018","2018","PC","Percentage","0","Units",,,53.08643,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2019","2019","PC","Percentage","0","Units",,,52.90834,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2020","2020","PC","Percentage","0","Units",,,52.77858,,
"AUS","Australia","YGMA08PE_ST","Employment males as % of employment ","A","Annual","2021","2021","PC","Percentage","0","Units",,,52.56816,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2005","2005","PER","Persons","3","Thousands",,,352.725,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2006","2006","PER","Persons","3","Thousands",,,344.181,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2007","2007","PER","Persons","3","Thousands",,,345.593,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2008","2008","PER","Persons","3","Thousands",,,344.739,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2009","2009","PER","Persons","3","Thousands",,,348.493,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2010","2010","PER","Persons","3","Thousands",,,355.062,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2011","2011","PER","Persons","3","Thousands",,,315.192,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2012","2012","PER","Persons","3","Thousands",,,317.115,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2013","2013","PER","Persons","3","Thousands",,,299.287,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2014","2014","PER","Persons","3","Thousands",,,323.266,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2015","2015","PER","Persons","3","Thousands",,,311.009,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2016","2016","PER","Persons","3","Thousands",,,313.969,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2017","2017","PER","Persons","3","Thousands",,,318.389,,
"AUS","Australia","YGTT09L1_ST","Employment in agriculture","A","Annual","2018","2018","PER","Persons","3","Thousands",,,329.66,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.569862,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.399578,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.312096,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.212502,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.225122,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2010","2010","PC","Percentage","0","Units",,,3.221323,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.810747,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.793767,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.612329,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.801226,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.643225,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.62229,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.598667,,
"AUS","Australia","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.619662,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2005","2005","PER","Persons","3","Thousands",,,2147.597,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2006","2006","PER","Persons","3","Thousands",,,2219.156,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2007","2007","PER","Persons","3","Thousands",,,2279.952,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2008","2008","PER","Persons","3","Thousands",,,2395.745,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2009","2009","PER","Persons","3","Thousands",,,2352.949,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2010","2010","PER","Persons","3","Thousands",,,2388.859,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2011","2011","PER","Persons","3","Thousands",,,2406.898,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2012","2012","PER","Persons","3","Thousands",,,2430.992,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2013","2013","PER","Persons","3","Thousands",,,2410.082,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2014","2014","PER","Persons","3","Thousands",,,2422.363,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2015","2015","PER","Persons","3","Thousands",,,2365.772,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2016","2016","PER","Persons","3","Thousands",,,2395.378,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2017","2017","PER","Persons","3","Thousands",,,2456.136,,
"AUS","Australia","YGTT10L1_ST","Employment in industry","A","Annual","2018","2018","PER","Persons","3","Thousands",,,2572.663,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2005","2005","PC","Percentage","0","Units",,,21.73542,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2006","2006","PC","Percentage","0","Units",,,21.91926,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2007","2007","PC","Percentage","0","Units",,,21.85062,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2008","2008","PC","Percentage","0","Units",,,22.32511,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2009","2009","PC","Percentage","0","Units",,,21.77532,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2010","2010","PC","Percentage","0","Units",,,21.67307,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2011","2011","PC","Percentage","0","Units",,,21.46368,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2012","2012","PC","Percentage","0","Units",,,21.41692,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2013","2013","PC","Percentage","0","Units",,,21.03642,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2014","2014","PC","Percentage","0","Units",,,20.99072,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2015","2015","PC","Percentage","0","Units",,,20.10639,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2016","2016","PC","Percentage","0","Units",,,20.00635,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2017","2017","PC","Percentage","0","Units",,,20.0468,,
"AUS","Australia","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2018","2018","PC","Percentage","0","Units",,,20.44382,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2005","2005","PER","Persons","3","Thousands",,,7380.312,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2006","2006","PER","Persons","3","Thousands",,,7560.891,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2007","2007","PER","Persons","3","Thousands",,,7808.724,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2008","2008","PER","Persons","3","Thousands",,,7990.686,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2009","2009","PER","Persons","3","Thousands",,,8104.134,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2010","2010","PER","Persons","3","Thousands",,,8278.322,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2011","2011","PER","Persons","3","Thousands",,,8491.727,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2012","2012","PER","Persons","3","Thousands",,,8602.695,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2013","2013","PER","Persons","3","Thousands",,,8747.34,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2014","2014","PER","Persons","3","Thousands",,,8794.532,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2015","2015","PER","Persons","3","Thousands",,,9089.487,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2016","2016","PER","Persons","3","Thousands",,,9263.739,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2017","2017","PER","Persons","3","Thousands",,,9477.486,,
"AUS","Australia","YGTT11L1_ST","Employment in services","A","Annual","2018","2018","PER","Persons","3","Thousands",,,9681.741,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2005","2005","PC","Percentage","0","Units",,,74.69472,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2006","2006","PC","Percentage","0","Units",,,74.68116,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2007","2007","PC","Percentage","0","Units",,,74.83729,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2008","2008","PC","Percentage","0","Units",,,74.46239,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2009","2009","PC","Percentage","0","Units",,,74.99956,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2010","2010","PC","Percentage","0","Units",,,75.10561,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2011","2011","PC","Percentage","0","Units",,,75.72557,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2012","2012","PC","Percentage","0","Units",,,75.78931,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2013","2013","PC","Percentage","0","Units",,,76.35124,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2014","2014","PC","Percentage","0","Units",,,76.20805,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2015","2015","PC","Percentage","0","Units",,,77.25038,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2016","2016","PC","Percentage","0","Units",,,77.37136,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2017","2017","PC","Percentage","0","Units",,,77.35454,,
"AUS","Australia","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2018","2018","PC","Percentage","0","Units",,,76.93652,,
"AUS","Australia","YGTT06L1_ST","Unemployment","A","Annual","2005","2005","PER","Persons","3","Thousands",,,523.5905,,
