"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2007","2007","EUR","Euro","0","Units",,,0.729672,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.679923,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.716958,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.754309,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.718414,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.778338,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.752945,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.752728,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.901296,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.903421,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.885206,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.846773,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.893276,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.875506,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.845494,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","EUR","Euro","0","Units",,,0.949624,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2005","2005","NZD","New Zealand Dollar","0","Units",,,1.420273,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2006","2006","NZD","New Zealand Dollar","0","Units",,,1.542056,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2007","2007","NZD","New Zealand Dollar","0","Units",,,1.360675,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","NZD","New Zealand Dollar","0","Units",,,1.422727,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","NZD","New Zealand Dollar","0","Units",,,1.600877,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","NZD","New Zealand Dollar","0","Units",,,1.387834,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","NZD","New Zealand Dollar","0","Units",,,1.265811,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","NZD","New Zealand Dollar","0","Units",,,1.234284,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","NZD","New Zealand Dollar","0","Units",,,1.219408,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","NZD","New Zealand Dollar","0","Units",,,1.205433,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","NZD","New Zealand Dollar","0","Units",,,1.433975,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","NZD","New Zealand Dollar","0","Units",,,1.436525,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","NZD","New Zealand Dollar","0","Units",,,1.407408,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","NZD","New Zealand Dollar","0","Units",,,1.445258,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","NZD","New Zealand Dollar","0","Units",,,1.517875,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","NZD","New Zealand Dollar","0","Units",,,1.542058,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","NZD","New Zealand Dollar","0","Units",,,1.4138,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","NZD","New Zealand Dollar","0","Units",,,1.577019,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","EUR","Euro","0","Units",,,0.564715,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","EUR","Euro","0","Units",,,0.554676,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","EUR","Euro","0","Units",,,0.553701,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.53743,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.515535,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.502093,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.506407,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.504542,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.491124,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.485412,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.491548,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.503194,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.516433,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.526001,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.517534,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.519992,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.533526,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2005","2005","EUR","Euro","0","Units",,,0.804146,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2006","2006","EUR","Euro","0","Units",,,0.797147,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2007","2007","EUR","Euro","0","Units",,,0.729672,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.679923,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.716958,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.754309,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.718414,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.778338,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.752945,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.752728,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.901296,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.903421,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.885206,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.846773,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.893276,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.875506,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.845494,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","EUR","Euro","0","Units",,,0.949624,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","INR","Indian Rupee","0","Units",,,10.712126,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","INR","Indian Rupee","0","Units",,,11.264471,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","INR","Indian Rupee","0","Units",,,11.729724,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","INR","Indian Rupee","0","Units",,,12.567122,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","INR","Indian Rupee","0","Units",,,13.366222,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","INR","Indian Rupee","0","Units",,,14.597721,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","INR","Indian Rupee","0","Units",,,15.549549,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","INR","Indian Rupee","0","Units",,,16.160835,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","INR","Indian Rupee","0","Units",,,17.342325,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","INR","Indian Rupee","0","Units",,,18.386549,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","INR","Indian Rupee","0","Units",,,19.235003,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","INR","Indian Rupee","0","Units",,,19.898727,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2017","2017","INR","Indian Rupee","0","Units",,,20.647793,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2018","2018","INR","Indian Rupee","0","Units",,,20.949321,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2019","2019","INR","Indian Rupee","0","Units",,,21.073227,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2020","2020","INR","Indian Rupee","0","Units",,,21.988508,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2021","2021","INR","Indian Rupee","0","Units",,,23.138138,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2005","2005","PLN","Zloty","0","Units",,,1.805765,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2006","2006","PLN","Zloty","0","Units",,,1.80171,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2007","2007","PLN","Zloty","0","Units",,,1.740936,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","PLN","Zloty","0","Units",,,1.758255,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","PLN","Zloty","0","Units",,,1.804517,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","PLN","Zloty","0","Units",,,1.712812,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","PLN","Zloty","0","Units",,,1.714588,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","PLN","Zloty","0","Units",,,1.681601,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","PLN","Zloty","0","Units",,,1.662055,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","PLN","Zloty","0","Units",,,1.67568,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2015","2015","PLN","Zloty","0","Units",,,1.666995,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2016","2016","PLN","Zloty","0","Units",,,1.637035,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2017","2017","PLN","Zloty","0","Units",,,1.666443,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2018","2018","PLN","Zloty","0","Units",,,1.678056,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2019","2019","PLN","Zloty","0","Units",,,1.662521,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2020","2020","PLN","Zloty","0","Units",,,1.682383,,
"POL","Poland","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","PLN","Zloty","0","Units",,,1.775957,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2005","2005","GBP","Pound Sterling","0","Units",,,0.711497,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2006","2006","GBP","Pound Sterling","0","Units",,,0.709708,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2007","2007","GBP","Pound Sterling","0","Units",,,0.72081,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","GBP","Pound Sterling","0","Units",,,0.727348,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","GBP","Pound Sterling","0","Units",,,0.752317,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","GBP","Pound Sterling","0","Units",,,0.742578,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","GBP","Pound Sterling","0","Units",,,0.748328,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","GBP","Pound Sterling","0","Units",,,0.742583,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","GBP","Pound Sterling","0","Units",,,0.750583,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","GBP","Pound Sterling","0","Units",,,0.759292,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2015","2015","GBP","Pound Sterling","0","Units",,,0.761803,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2016","2016","GBP","Pound Sterling","0","Units",,,0.752065,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2017","2017","GBP","Pound Sterling","0","Units",,,0.750091,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2018","2018","GBP","Pound Sterling","0","Units",,,0.754476,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2019","2019","GBP","Pound Sterling","0","Units",,,0.747639,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2020","2020","GBP","Pound Sterling","0","Units",,,0.759508,,
"GBR","United Kingdom","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","GBP","Pound Sterling","0","Units",,,0.74594,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2005","2005","NZD","New Zealand Dollar","0","Units",,,1.485996,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2006","2006","NZD","New Zealand Dollar","0","Units",,,1.456553,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2007","2007","NZD","New Zealand Dollar","0","Units",,,1.449906,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","NZD","New Zealand Dollar","0","Units",,,1.433611,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","NZD","New Zealand Dollar","0","Units",,,1.47465,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","NZD","New Zealand Dollar","0","Units",,,1.474323,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","NZD","New Zealand Dollar","0","Units",,,1.476817,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","NZD","New Zealand Dollar","0","Units",,,1.469729,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","NZD","New Zealand Dollar","0","Units",,,1.447742,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","NZD","New Zealand Dollar","0","Units",,,1.447073,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2015","2015","NZD","New Zealand Dollar","0","Units",,,1.469015,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2016","2016","NZD","New Zealand Dollar","0","Units",,,1.425098,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2017","2017","NZD","New Zealand Dollar","0","Units",,,1.409876,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2018","2018","NZD","New Zealand Dollar","0","Units",,,1.443307,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2019","2019","NZD","New Zealand Dollar","0","Units",,,1.372165,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2020","2020","NZD","New Zealand Dollar","0","Units",,,1.360228,,
"NZL","New Zealand","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","NZD","New Zealand Dollar","0","Units",,,1.39504,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2005","2005","ISK","Iceland Krona","0","Units",,,62.98,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2006","2006","ISK","Iceland Krona","0","Units",,,71.66,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2007","2007","ISK","Iceland Krona","0","Units",,,61.85,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2008","2008","ISK","Iceland Krona","0","Units",,,120.58,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2009","2009","ISK","Iceland Krona","0","Units",,,124.9,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2010","2010","ISK","Iceland Krona","0","Units",,,115.05,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2011","2011","ISK","Iceland Krona","0","Units",,,122.71,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2012","2012","ISK","Iceland Krona","0","Units",,,128.99,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2013","2013","ISK","Iceland Krona","0","Units",,,115.55,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2014","2014","ISK","Iceland Krona","0","Units",,,126.9,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2015","2015","ISK","Iceland Krona","0","Units",,,129.59,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2016","2016","ISK","Iceland Krona","0","Units",,,112.82,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2017","2017","ISK","Iceland Krona","0","Units",,,104.42,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2018","2018","ISK","Iceland Krona","0","Units",,,116.33,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2019","2019","ISK","Iceland Krona","0","Units",,,121.1,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2020","2020","ISK","Iceland Krona","0","Units",,,127.21,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2021","2021","ISK","Iceland Krona","0","Units",,,130.38,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2005","2005","AUD","Australian Dollar","0","Units",,,1.46414,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2006","2006","AUD","Australian Dollar","0","Units",,,1.495671,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2007","2007","AUD","Australian Dollar","0","Units",,,1.503938,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2008","2008","AUD","Australian Dollar","0","Units",,,1.530675,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2009","2009","AUD","Australian Dollar","0","Units",,,1.549731,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2010","2010","AUD","Australian Dollar","0","Units",,,1.554906,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2011","2011","AUD","Australian Dollar","0","Units",,,1.526641,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2012","2012","AUD","Australian Dollar","0","Units",,,1.546202,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2013","2013","AUD","Australian Dollar","0","Units",,,1.518153,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2014","2014","AUD","Australian Dollar","0","Units",,,1.530216,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2015","2015","AUD","Australian Dollar","0","Units",,,1.54546,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2016","2016","AUD","Australian Dollar","0","Units",,,1.533296,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2017","2017","AUD","Australian Dollar","0","Units",,,1.56288,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2018","2018","AUD","Australian Dollar","0","Units",,,1.559359,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2019","2019","AUD","Australian Dollar","0","Units",,,1.586159,,
